,,,0
cyrillic,courier-new,"('cyrl.de', 'cyrl.o', 'cyrl.yu')",45.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.tse', 'cyrl.ya')",56.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.tse', 'cyrl.yu')",65.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.ya', 'cyrl.yu')",29.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.es', 'cyrl.ka')",58.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.es', 'cyrl.o')",55.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.es', 'cyrl.tse')",62.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.es', 'cyrl.ya')",50.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.es', 'cyrl.yu')",35.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.ka', 'cyrl.o')",59.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.ka', 'cyrl.tse')",43.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.ka', 'cyrl.ya')",27.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.ka', 'cyrl.yu')",41.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.o', 'cyrl.tse')",59.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.o', 'cyrl.ya')",47.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.o', 'cyrl.yu')",47.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.tse', 'cyrl.ya')",42.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.tse', 'cyrl.yu')",56.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.ya', 'cyrl.yu')",35.0
cyrillic,courier-new,"('cyrl.es', 'cyrl.ka', 'cyrl.o')",56.0
cyrillic,courier-new,"('cyrl.es', 'cyrl.ka', 'cyrl.tse')",49.0
cyrillic,courier-new,"('cyrl.es', 'cyrl.ka', 'cyrl.ya')",50.0
cyrillic,courier-new,"('cyrl.es', 'cyrl.ka', 'cyrl.yu')",31.0
cyrillic,courier-new,"('cyrl.es', 'cyrl.o', 'cyrl.tse')",53.0
cyrillic,courier-new,"('cyrl.es', 'cyrl.o', 'cyrl.ya')",56.0
cyrillic,courier-new,"('cyrl.es', 'cyrl.o', 'cyrl.yu')",48.0
cyrillic,courier-new,"('cyrl.es', 'cyrl.tse', 'cyrl.ya')",36.0
cyrillic,courier-new,"('cyrl.es', 'cyrl.tse', 'cyrl.yu')",40.0
cyrillic,courier-new,"('cyrl.es', 'cyrl.ya', 'cyrl.yu')",34.0
cyrillic,courier-new,"('cyrl.ka', 'cyrl.o', 'cyrl.tse')",57.0
cyrillic,courier-new,"('cyrl.ka', 'cyrl.o', 'cyrl.ya')",51.0
cyrillic,courier-new,"('cyrl.ka', 'cyrl.o', 'cyrl.yu')",41.0
cyrillic,courier-new,"('cyrl.ka', 'cyrl.tse', 'cyrl.ya')",36.0
cyrillic,courier-new,"('cyrl.ka', 'cyrl.tse', 'cyrl.yu')",33.0
cyrillic,courier-new,"('cyrl.ka', 'cyrl.ya', 'cyrl.yu')",26.0
cyrillic,courier-new,"('cyrl.o', 'cyrl.tse', 'cyrl.ya')",44.0
cyrillic,courier-new,"('cyrl.o', 'cyrl.tse', 'cyrl.yu')",45.0
cyrillic,courier-new,"('cyrl.o', 'cyrl.ya', 'cyrl.yu')",41.0
cyrillic,courier-new,"('cyrl.tse', 'cyrl.ya', 'cyrl.yu')",37.0
cyrillic,georgia,"('cyrl.be', 'cyrl.che', 'cyrl.ef')",53.0
cyrillic,georgia,"('cyrl.be', 'cyrl.che', 'cyrl.em')",50.0
cyrillic,georgia,"('cyrl.be', 'cyrl.che', 'cyrl.en')",61.0
cyrillic,georgia,"('cyrl.be', 'cyrl.che', 'cyrl.i')",58.0
cyrillic,georgia,"('cyrl.be', 'cyrl.che', 'cyrl.ie')",40.0
cyrillic,georgia,"('cyrl.be', 'cyrl.che', 'cyrl.ze')",38.0
cyrillic,georgia,"('cyrl.be', 'cyrl.ef', 'cyrl.em')",54.0
cyrillic,georgia,"('cyrl.be', 'cyrl.ef', 'cyrl.en')",52.0
cyrillic,georgia,"('cyrl.be', 'cyrl.ef', 'cyrl.i')",60.0
cyrillic,georgia,"('cyrl.be', 'cyrl.ef', 'cyrl.ie')",36.0
cyrillic,georgia,"('cyrl.be', 'cyrl.ef', 'cyrl.ze')",44.0
cyrillic,georgia,"('cyrl.be', 'cyrl.em', 'cyrl.en')",74.0
cyrillic,georgia,"('cyrl.be', 'cyrl.em', 'cyrl.i')",66.0
cyrillic,georgia,"('cyrl.be', 'cyrl.em', 'cyrl.ie')",47.0
cyrillic,georgia,"('cyrl.be', 'cyrl.em', 'cyrl.ze')",46.0
cyrillic,georgia,"('cyrl.be', 'cyrl.en', 'cyrl.i')",71.0
cyrillic,georgia,"('cyrl.be', 'cyrl.en', 'cyrl.ie')",44.0
cyrillic,georgia,"('cyrl.be', 'cyrl.en', 'cyrl.ze')",41.0
cyrillic,georgia,"('cyrl.be', 'cyrl.i', 'cyrl.ie')",39.0
cyrillic,georgia,"('cyrl.be', 'cyrl.i', 'cyrl.ze')",48.0
cyrillic,georgia,"('cyrl.be', 'cyrl.ie', 'cyrl.ze')",34.0
cyrillic,georgia,"('cyrl.che', 'cyrl.ef', 'cyrl.em')",56.0
cyrillic,georgia,"('cyrl.che', 'cyrl.ef', 'cyrl.en')",64.0
cyrillic,georgia,"('cyrl.che', 'cyrl.ef', 'cyrl.i')",52.0
cyrillic,georgia,"('cyrl.che', 'cyrl.ef', 'cyrl.ie')",36.0
cyrillic,georgia,"('cyrl.che', 'cyrl.ef', 'cyrl.ze')",37.0
cyrillic,georgia,"('cyrl.che', 'cyrl.em', 'cyrl.en')",48.0
cyrillic,georgia,"('cyrl.che', 'cyrl.em', 'cyrl.i')",58.0
cyrillic,georgia,"('cyrl.che', 'cyrl.em', 'cyrl.ie')",42.0
